id,deposit_amount_2017
1,412635874.64
2,777833.26
3,594054.38
4,262597.24
5,500634.22
6,326816.44
7,240857.2
8,127499.64
9,186221.18
10,188657.24
11,826733.74
12,367310.96
13,302024.02
14,414329.78
15,623569.46
16,514325.2
17,175235.22
18,1370038.4
19,951840.04
20,274938.64
21,1166899.82
22,1151364.3
23,1179508.58
24,692190.9
25,1780192.8
26,1199049.98
27,870218.94
28,820499.2
29,552684.66
30,126433.6
31,545119.7
32,657345.84
33,969055.02
34,1141356.76
35,3719541.62
36,916612.32
37,820963.86
38,624527.7
39,1772070.06
40,6120892.48
41,564178.04
42,567834.52
43,115692.68
44,1899926.94
45,1175238.64
46,1380328.0
47,232169.88
48,508752.72
49,569225.08
50,487707.74
51,123353.24
52,502967.42
53,507360.02
54,1142695.42
55,209065.52
56,441995.44
57,1002554.3
58,391496.28
59,639308.8
60,450412.36
61,372853.18
62,2443350.88
63,245115.2
64,417506.66
65,991662.48
66,818826.38
67,330631.18
68,2259074.44
69,304308.08
70,272706.46
71,270790.2
72,723655.82
73,271516.44
74,661171.3
75,279462.1
76,476040.24
77,290445.18
78,431139.78
79,536137.4
80,326778.96
81,334729.6
82,96013.78
83,396649.06
84,790876.38
85,478144.52
86,625302.38
87,585713.66
88,334730.64
89,50082.28
90,209675.52
91,361370.8
92,1565887.56
93,695567.08
94,298003.02
95,234048.88
96,1087274.52
97,564391.88
98,343030.0
99,545219.02
100,487229.08
101,234365.48
102,521046.76
103,378520.18
104,342888.58
105,273951.62
106,259678.1
107,611053.32
108,856710.0
109,1227761.44
110,370163.52
111,343744.02
112,183626.16
113,364204.18
114,459978.5
115,173360.84
116,288120.1
117,135304.72
118,183910.12
119,278372.72
120,334764.22
121,267034.7
122,466933.54
123,127446.32
124,1257622.88
125,1366769.14
126,81004.04
127,285648.58
128,230571.8
129,200874.0
130,385210.08
131,233293.8
132,277343.18
133,371015.76
134,457342.46
135,485321.82
136,558055.8
137,812946.46
138,288095.94
139,961936.56
140,818334.26
141,309029.84
142,581251.16
143,110322.72
144,160288.26
145,554431.92
146,972670.2
147,371845.2
148,1889101.16
149,948059.98
150,253245.4
151,175103.1
152,133465.78
153,594685.24
154,1828152.5
155,42838841.92
156,784244.76
157,458719.96
158,313457.02
159,363726.44
160,378128.18
161,526939.92
162,359150.28
163,472060.72
164,474346.7
165,621339.26
166,309133.34
167,1227761.44
168,487458.44
169,1375670.0
170,116747.82
171,295300.7
172,163806.12
173,417214.86
174,268251.14
175,144035.82
176,275818.28
177,711425.02
178,295029.78
179,507625.22
180,494263.12
181,480504.42
182,460407.34
183,1437208.36
184,295150.96
185,420535.12
186,535252.02
187,353270.2
188,219685.48
189,533652.88
190,81004.04
191,337032.52
192,395154.18
193,277068.08
194,663305.32
195,552059.8
196,2553265.36
197,195525.1
198,142037.54
199,1698614.92
200,2499252.32
201,563729.92
202,818944.06
203,197413.64
204,2259074.44
205,931777.76
206,1462549.46
207,855296.64
208,953226.88
209,1336911.94
210,1202198.68
211,275853.46
212,400206.66
213,223141.66
214,483619.14
215,453460.0
216,636690.52
217,429531.46
218,279159.92
219,495550.2
220,321644.6
221,280052.36
222,304413.52
223,342833.9
224,543689.6
225,373139.62
226,780963.7
227,216333.92
228,459682.22
229,522847.34
230,621633.42
231,321332.86
232,1110952.28
233,305868.68
234,324896.26
235,698987.26
236,619406.58
237,303121.28
238,411474.56
239,400079.28
240,682146.7
241,338897.6
242,348351.84
243,556159.56
244,243468.7
245,523330.96
246,771897.12
247,294851.0
248,358898.94
249,192778.48
250,445366.3
251,544730.9
252,522256.22
253,506533.82
254,355122.6
255,395622.8
256,353046.28
257,1369243.06
258,331545.62
259,276998.38
260,437897.56
261,400200.34
262,222836.9
263,566095.38
264,309356.68
265,247.02
266,784264.18
267,391370.1
268,946945.54
269,556341.28
270,596643.06
271,312.18
272,367300.96
273,1193801.5
274,140027.0
275,300275.74
276,86390.54
277,62096.62
278,70607.82
279,114870.12
280,159400.24
281,90570.58
282,230425.66
283,187606.78
284,151912.24
285,250874.38
286,360630.16
