id,deposit_amount_2017
1,579341500.0
2,776848.25
3,607975.25
4,277925.47
5,525680.25
6,399082.44
7,251084.28
8,136737.5
9,209433.0
10,208989.81
11,845809.1
12,421169.97
13,315246.78
14,449143.66
15,634657.5
16,479607.12
17,188582.61
18,1579248.2
19,969206.9
20,284995.88
21,1268807.9
22,1153741.5
23,1243825.5
24,665091.1
25,1693788.8
26,1309943.0
27,856062.1
28,809764.5
29,536338.7
30,140537.25
31,540833.0
32,622692.9
33,969206.9
34,1240595.8
35,4768430.0
36,929165.7
37,809764.5
38,656255.75
39,1737941.1
40,6877728.5
41,550649.7
42,556600.1
43,129446.05
44,1837068.5
45,1138684.0
46,1597944.5
47,242780.23
48,487420.22
49,576969.2
50,506211.44
51,137035.25
52,550432.94
53,533583.3
54,1218015.4
55,231927.3
56,420748.5
57,1064592.2
58,352882.2
59,642708.6
60,464006.3
61,407824.56
62,2911510.0
63,265418.1
64,442034.34
65,1047394.44
66,799342.8
67,339052.97
68,2391642.5
69,315346.7
70,284702.84
71,289393.75
72,691605.56
73,285325.53
74,673090.8
75,290795.28
76,471914.22
77,302534.25
78,445461.44
79,547000.9
80,336298.72
81,338120.94
82,107087.8
83,437585.88
84,723723.7
85,509098.9
86,636226.44
87,634165.44
88,363215.7
89,63121.76
90,230438.84
91,412742.75
92,1635848.0
93,659317.5
94,314107.03
95,248942.56
96,1172954.6
97,564402.6
98,343980.94
99,559552.06
100,527992.56
101,256638.11
102,536136.1
103,420780.2
104,343980.94
105,289393.75
106,276681.7
107,642525.0
108,792141.9
109,1363711.0
110,381265.34
111,343980.94
112,203436.0
113,418585.4
114,461307.03
115,186221.33
116,303178.88
117,142534.72
118,206675.23
119,288741.72
120,367247.1
121,377341.62
122,462446.25
123,140086.4
124,1216154.9
125,1488489.5
126,100282.61
127,296374.47
128,242306.48
129,208818.36
130,428278.97
131,238544.6
132,285871.53
133,412632.53
134,457473.1
135,494385.28
136,558118.5
137,803240.1
138,300490.94
139,961330.6
140,794659.94
141,316862.88
142,567658.25
143,126465.0
144,162081.33
145,544979.75
146,969206.9
147,379672.56
148,1907704.1
149,936830.4
150,274093.1
151,183819.6
152,169638.9
153,592917.8
154,2745313.2
155,59013830.0
156,783952.6
157,465025.75
158,329466.28
159,357180.9
160,383818.94
161,538215.2
162,354426.16
163,472110.03
164,468521.84
165,596182.7
166,317697.47
167,1356068.9
168,514848.84
169,1617563.5
170,122667.97
171,311833.66
172,185222.52
173,447898.3
174,283214.4
175,147010.89
176,288819.28
177,694324.1
178,312076.6
179,545891.0
180,528650.44
181,477453.72
182,486422.38
183,1528092.0
184,302534.25
185,446148.3
186,517835.34
187,346330.75
188,225151.33
189,549748.6
190,100733.44
191,372037.66
192,420748.88
193,277461.66
194,665277.56
195,550333.7
196,2391642.5
197,224592.31
198,168395.64
199,1718775.9
200,2463541.2
201,518345.9
202,803415.3
203,1548311.2
204,2463541.2
205,969971.06
206,2428321.0
207,792141.9
208,888113.9
209,1579248.2
210,1229221.4
211,289508.38
212,382836.44
213,228534.88
214,478942.16
215,410802.06
216,659812.9
217,432247.66
218,292740.7
219,509253.22
220,333179.2
221,281214.44
222,316035.78
223,377866.28
224,552932.7
225,408547.34
226,770463.0
227,233308.53
228,472495.06
229,485533.53
230,640650.94
231,331171.38
232,1195958.8
233,313983.22
234,331690.75
235,725138.6
236,622928.7
237,303253.94
238,431977.44
239,419264.25
240,659103.6
241,371515.44
242,415609.16
243,628178.6
244,252507.56
245,571499.3
246,770388.9
247,300927.1
248,377160.84
249,211338.39
250,434080.62
251,623874.7
252,554193.9
253,509958.12
254,436108.97
255,413976.72
256,368509.38
257,1559122.9
258,337045.16
259,282988.06
260,438598.47
261,409041.56
262,235940.97
263,597582.94
264,319412.25
265,20795.705
266,772906.94
267,414004.44
268,1013972.9
269,554458.75
270,649900.0
271,34817.863
272,334212.7
273,1400987.1
274,154307.9
275,315639.72
276,105130.83
277,74901.6
278,80096.305
279,122536.664
280,179697.8
281,108741.14
282,234503.58
283,206604.7
284,159391.02
285,274093.1
286,365236.7
287,154888.61
288,178654.98
289,142657.98
290,278728.62
291,161524.47
292,67294.22
293,177638.05
294,130411.61
295,116295.88
296,28591.201
297,83542.1
298,188264.95
299,115331.38
300,266851.9
301,105130.83
302,339052.97
303,129957.33
304,86893.49
305,153545.17
306,314464.72
307,101090.33
308,214890.06
309,34817.863
310,167828.1
311,222749.6
312,487338.25
313,534870.6
314,215320.4
315,55600.04
316,630411.1
317,108138.61
318,163688.72
319,317336.06
320,220096.28
321,296399.53
322,256266.94
323,187427.92
324,208923.42
325,415887.12
326,199083.27
327,506748.94
328,321178.78
329,297366.94
330,98418.3
331,256771.47
332,202891.89
333,804179.5
334,35151.348
335,499188.38
336,401786.4
337,759980.1
338,647639.0
339,406878.88
340,602222.1
341,208856.4
342,380099.34
343,330641.28
344,304022.7
345,1636458.9
346,188363.39
347,424744.34
348,535258.0
349,426341.38
350,308016.56
351,223940.19
352,441349.6
353,592957.6
354,123271.26
355,470756.3
356,128641.64
357,296263.66
358,257100.97
359,427760.8
360,248545.67
361,750947.4
362,183682.16
363,431974.16
364,627600.56
365,450569.94
366,659150.3
367,4574430.0
368,35151.348
369,35151.348
370,35151.348
371,35151.348
372,34817.863
373,21900.9
374,34817.863
375,35418.12
376,34817.863
377,34817.863
378,33329.402
379,34817.863
380,45991.957
381,94152.77
382,34822.477
383,34817.863
384,33329.402
385,33329.402
386,32810.047
387,35151.348
388,34817.863
389,35418.12
390,32810.047
391,34817.863
392,34817.863
393,118457.99
394,35151.348
395,82053.64
396,59013830.0
397,34817.863
398,424542.16
399,34817.863
400,773357.75
401,757596.4
402,423040.06
403,595886.7
404,458917.66
405,34817.863
406,767008.7
407,34817.863
408,942856.2
409,34817.863
410,276839.5
411,838876.0
412,786921.5
413,773357.75
414,431037.3
415,1154151.9
416,437116.03
417,456151.28
418,368352.06
419,459988.6
420,544059.5
421,768360.8
422,439560.97
423,210024.16
424,652749.4
425,265294.47
426,444707.72
427,533568.94
428,584492.0
429,462987.75
430,1096468.0
431,439427.16
432,433794.62
433,315797.53
434,34817.863
435,457923.94
436,425714.1
437,128740.66
438,433794.62
439,34817.863
440,115469.1
441,329864.62
442,506450.3
443,648228.5
444,213963.8
445,101066.625
446,388984.34
447,266048.72
448,231045.61
449,614441.44
450,34817.863
451,675361.75
452,536385.0
453,208320.52
454,34817.863
455,289707.72
456,511610.03
457,250837.45
458,34817.863
459,333753.66
460,441574.6
461,630696.7
462,33929.66
463,299940.97
464,323910.38
465,212356.05
466,140537.25
467,34817.863
468,315039.2
469,34817.863
470,314746.16
471,161781.28
472,564114.0
473,34817.863
474,197634.16
475,487294.7
476,161006.64
477,33329.402
478,288741.72
479,414030.5
480,270407.2
481,170797.38
482,34817.863
483,147017.81
484,1501177.4
485,185745.08
486,194096.17
487,271706.8
488,278491.0
489,333753.66
490,310994.56
491,233955.5
492,207321.94
493,137955.05
494,115830.98
495,529162.8
496,126428.11
497,60043.465
498,102476.02
499,425714.1
500,328848.34
501,481243.7
502,193591.86
503,380490.06
504,150365.92
505,34817.863
506,837767.44
507,558124.94
508,333179.2
509,228311.17
510,559510.7
511,203625.84
512,119620.7
513,286216.8
514,647684.8
515,81534.28
516,54188.223
517,75783.23
518,33329.402
519,35151.348
520,48967.484
521,34817.863
522,513378.06
523,332793.28
524,73607.35
525,209849.94
526,55883.01
527,111774.01
528,429170.25
529,473699.5
530,457461.56
531,164676.84
532,313579.38
533,129057.78
534,143125.77
535,354426.16
536,346563.22
537,116104.36
538,85386.45
539,220073.38
540,138819.39
541,190543.06
542,810536.75
543,208866.19
544,439430.34
545,140735.53
546,125556.48
547,419222.34
548,107496.26
549,108138.61
550,381208.25
551,100733.44
552,230357.67
553,140272.89
554,434821.66
555,403783.16
556,257760.3
557,104488.48
558,161256.53
559,182784.97
560,315604.66
561,31257.725
562,206948.94
563,87843.93
564,144523.72
565,98691.125
566,136609.9
567,105130.83
568,129198.37
569,109803.44
570,106521.44
571,150365.92
572,179193.45
573,100733.44
574,475139.6
575,146894.19
576,34817.863
577,34817.863
578,50455.945
579,380123.4
580,34817.863
581,368988.7
582,125428.86
583,180957.7
584,177638.05
585,110856.78
586,224576.86
587,201824.08
588,89316.8
589,137181.0
590,128200.63
591,79517.016
592,162177.44
593,214890.06
594,269721.94
595,205879.67
596,97859.28
597,214651.2
598,59451.41
599,138597.4
600,238148.47
601,260140.55
